Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
BA_n100_m6_graph_1,2,"['21', '60']",4,2,"['0', '9']",1.5,0,[],2,"['24', '22']",2,0,[],"['36', '39', '19', '70', '32']"
BA_n100_m6_graph_2,2,"['25', '88']",3,2,"['8', '0']",1.5,0,[],2,"['0', '8']",1.5,0,[],"['53', '4', '3', '85', '23']"
BA_n100_m6_graph_3,2,"['12', '55']",4,2,"['0', '10']",1.5,0,[],2,"['0', '21']",1.5,0,[],"['64', '11', '39', '82', '94']"
BA_n100_m6_graph_4,2,"['21', '66']",3,2,"['0', '7']",1.5,0,[],2,"['0', '13']",1,0,[],"['55', '3', '65', '45', '98']"
BA_n100_m6_graph_5,2,"['28', '91']",3,2,"['8', '7']",1,0,[],2,"['7', '0']",1.5,0,[],"['13', '90', '47', '27', '83']"
BA_n100_m6_graph_6,2,"['33', '87']",3,2,"['0', '15']",1,0,[],2,"['7', '15']",1.5,0,[],"['36', '1', '22', '17', '27']"
BA_n100_m6_graph_7,2,"['1', '9']",3,2,"['10', '0']",1,0,[],2,"['13', '11']",1.5,0,[],"['84', '26', '7', '17', '27']"
BA_n100_m6_graph_8,2,"['7', '93']",3,2,"['7', '0']",1,1,['7'],2,"['7', '0']",0.5,1,['7'],"['4', '35', '47', '96', '39']"
BA_n100_m6_graph_9,2,"['36', '47']",3,2,"['7', '8']",1,0,[],2,"['7', '8']",1,0,[],"['91', '60', '26', '24', '27']"
BA_n100_m6_graph_10,2,"['67', '72']",3,2,"['9', '0']",2,0,[],2,"['9', '0']",2,0,[],"['31', '48', '78', '40', '27']"
,,,3.2,,,1.3,,,,,1.4,,,
