Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
WS_n500_k10_p0.15_graph_1,5,"['363', '370', '399', '441', '453']",6,5,"['346', '453', '492', '363', '458']",1.6,2,"['363', '453']",5,"['191', '276', '492', '355', '291']",2.8,0,[],"['457', '364', '343', '12', '476', '223', '304', '431', '206', '174', '494', '55', '267', '382', '300', '461', '183', '325', '341', '246', '452', '487', '435', '280', '310']"
WS_n500_k10_p0.15_graph_2,5,"['128', '132', '152', '226', '408']",6,5,"['473', '485', '315', '28', '391']",2.2,0,[],5,"['263', '195', '250', '205', '78']",3,0,[],"['69', '53', '432', '260', '335', '387', '466', '63', '484', '303', '110', '206', '146', '112', '4', '220', '203', '56', '188', '374', '33', '470', '248', '409', '10']"
WS_n500_k10_p0.15_graph_3,5,"['64', '201', '252', '401', '414']",6,5,"['168', '33', '59', '72', '404']",2.2,0,[],5,"['211', '409', '197', '134', '470']",2,0,[],"['230', '489', '28', '383', '174', '104', '439', '355', '326', '79', '49', '379', '120', '173', '390', '163', '238', '121', '0', '24', '297', '82', '50', '83', '10']"
WS_n500_k10_p0.15_graph_4,5,"['141', '297', '403', '410', '447']",6,5,"['447', '76', '459', '2', '443']",2.4,1,['447'],5,"['172', '266', '296', '275', '15']",2.8,0,[],"['69', '449', '77', '462', '14', '259', '321', '68', '314', '494', '411', '178', '357', '442', '359', '97', '461', '0', '217', '429', '378', '145', '441', '147', '308']"
WS_n500_k10_p0.15_graph_5,5,"['87', '196', '207', '293', '404']",6,5,"['200', '433', '87', '109', '197']",1.8,1,['87'],5,"['118', '26', '437', '482', '439']",2.6,0,[],"['89', '253', '465', '240', '438', '12', '305', '375', '71', '278', '431', '57', '498', '255', '263', '104', '202', '415', '106', '417', '390', '102', '270', '308', '384']"
WS_n500_k10_p0.15_graph_6,5,"['18', '34', '144', '311', '394']",6,5,"['311', '445', '315', '312', '451']",2.2,1,['311'],5,"['285', '184', '164', '110', '277']",2.8,0,[],"['465', '463', '305', '407', '179', '303', '278', '62', '411', '401', '267', '316', '66', '106', '93', '412', '188', '334', '381', '455', '48', '130', '297', '308', '440']"
WS_n500_k10_p0.15_graph_7,5,"['7', '182', '309', '335', '422']",6,5,"['417', '421', '456', '38', '459']",2.4,0,[],5,"['415', '16', '222', '92', '332']",2.6,0,[],"['349', '416', '225', '257', '337', '478', '281', '373', '389', '34', '106', '20', '42', '120', '444', '473', '391', '452', '322', '30', '95', '33', '399', '148', '50']"
WS_n500_k10_p0.15_graph_8,5,"['110', '211', '334', '438', '446']",6,5,"['438', '111', '112', '146', '138']",1.6,1,['438'],5,"['248', '344', '4', '463', '405']",2.6,0,[],"['36', '240', '158', '149', '406', '126', '31', '86', '436', '286', '357', '127', '382', '124', '404', '117', '152', '348', '342', '410', '429', '194', '493', '162', '50']"
WS_n500_k10_p0.15_graph_9,5,"['274', '297', '385', '401', '402']",6,5,"['216', '402', '250', '89', '407']",2.2,1,['402'],5,"['390', '178', '344', '159', '94']",2.6,0,[],"['323', '405', '434', '211', '252', '453', '109', '87', '251', '57', '85', '422', '442', '412', '188', '379', '183', '376', '219', '29', '6', '435', '15', '410', '70']"
WS_n500_k10_p0.15_graph_10,5,"['76', '168', '396', '428', '480']",6,5,"['480', '483', '396', '481', '78']",1.4,2,"['396', '480']",5,"['127', '472', '247', '244', '428']",2.2,1,['428'],"['53', '157', '236', '296', '436', '251', '421', '195', '422', '54', '329', '316', '97', '137', '381', '67', '238', '394', '301', '273', '160', '82', '493', '200', '446']"
,,,6,,,2,,,,,2.6,,,
