Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
BA_n500_m10_graph_1,5,"['21', '84', '143', '219', '492']",4,5,"['0', '21', '15', '11', '13']",1,1,['21'],5,"['17', '31', '16', '24', '15']",1.6,0,[],"['132', '39', '37', '18', '376', '51', '14', '89', '351', '35', '52', '231', '463', '164', '166', '275', '478', '212', '436', '27', '410', '137', '59', '110', '76']"
BA_n500_m10_graph_2,5,"['55', '193', '329', '435', '452']",4,5,"['20', '15', '12', '0', '28']",1.4,0,[],5,"['12', '0', '20', '42', '38']",1.4,0,[],"['107', '302', '300', '401', '399', '93', '217', '265', '430', '482', '101', '231', '292', '122', '167', '255', '13', '494', '212', '257', '387', '404', '457', '146', '437']"
BA_n500_m10_graph_3,5,"['19', '26', '58', '281', '326']",4,5,"['11', '0', '19', '12', '16']",1.2,1,['19'],5,"['19', '0', '12', '11', '71']",1,1,['19'],"['68', '314', '48', '218', '154', '459', '82', '313', '87', '34', '142', '8', '441', '230', '109', '462', '66', '271', '488', '100', '133', '55', '146', '318', '311']"
BA_n500_m10_graph_4,5,"['111', '117', '328', '473', '495']",3,5,"['117', '19', '13', '12', '14']",1,1,['117'],5,"['35', '31', '50', '34', '12']",1.6,0,[],"['499', '274', '42', '7', '451', '226', '98', '15', '270', '89', '191', '329', '310', '372', '189', '205', '79', '5', '359', '478', '214', '470', '84', '120', '241']"
BA_n500_m10_graph_5,5,"['8', '132', '294', '301', '490']",4,5,"['14', '11', '0', '12', '17']",1.6,0,[],5,"['14', '63', '0', '68', '12']",1.6,0,[],"['442', '486', '172', '169', '266', '295', '374', '141', '194', '231', '81', '87', '54', '372', '289', '109', '2', '91', '182', '334', '431', '290', '438', '22', '97']"
BA_n500_m10_graph_6,5,"['27', '54', '312', '325', '384']",4,5,"['11', '17', '0', '12', '13']",1.4,0,[],5,"['11', '0', '42', '100', '17']",1.4,0,[],"['477', '302', '449', '291', '157', '276', '237', '209', '213', '266', '369', '184', '205', '2', '63', '343', '258', '145', '137', '110', '3', '215', '397', '367', '339']"
BA_n500_m10_graph_7,5,"['22', '147', '352', '441', '459']",4,5,"['22', '0', '13', '17', '12']",1.2,1,['22'],5,"['15', '14', '20', '16', '29']",1.6,0,[],"['274', '18', '98', '172', '246', '36', '78', '304', '341', '101', '420', '277', '238', '364', '2', '158', '173', '408', '439', '19', '206', '27', '220', '215', '457']"
BA_n500_m10_graph_8,5,"['13', '37', '156', '345', '421']",4,5,"['13', '37', '14', '0', '17']",1.2,2,"['13', '37']",5,"['13', '33', '31', '40', '37']",1.4,2,"['13', '37']","['355', '274', '375', '451', '226', '262', '48', '12', '430', '341', '268', '474', '34', '267', '162', '122', '205', '148', '204', '368', '264', '404', '344', '105', '437']"
BA_n500_m10_graph_9,5,"['31', '50', '240', '252', '482']",4,5,"['12', '13', '31', '25', '15']",1,1,['31'],5,"['12', '38', '20', '31', '53']",1,1,['31'],"['200', '499', '375', '400', '464', '94', '98', '492', '246', '136', '337', '265', '139', '491', '106', '141', '440', '170', '214', '19', '95', '3', '119', '64', '350']"
BA_n500_m10_graph_10,5,"['221', '245', '343', '345', '455']",4,5,"['12', '20', '11', '14', '0']",1.4,0,[],5,"['29', '12', '0', '71', '20']",1.4,0,[],"['200', '400', '383', '392', '51', '201', '314', '218', '130', '62', '487', '35', '216', '409', '320', '181', '49', '439', '408', '250', '137', '156', '290', '97', '41']"
,,,3.9,,,1.24,,,,,1.4,,,
