Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
WS_n100_k7_p0.15_graph_1,2,"['5', '98']",7,2,"['94', '42']",3,0,[],2,"['26', '56']",3,0,[],"['39', '12', '92', '71', '8']"
WS_n100_k7_p0.15_graph_2,2,"['16', '85']",6,2,"['24', '81']",1.5,0,[],2,"['35', '16']",1,1,['16'],"['63', '0', '46', '45', '71']"
WS_n100_k7_p0.15_graph_3,2,"['34', '46']",8,2,"['47', '46']",2.5,1,['46'],2,"['22', '21']",2.5,0,[],"['27', '87', '11', '42', '50']"
WS_n100_k7_p0.15_graph_4,2,"['9', '26']",6,2,"['9', '11']",1.5,1,['9'],2,"['53', '58']",3,0,[],"['25', '18', '31', '8', '10']"
WS_n100_k7_p0.15_graph_5,2,"['62', '99']",7,2,"['62', '53']",1,1,['62'],2,"['45', '47']",3.5,0,[],"['61', '11', '66', '64', '50']"
WS_n100_k7_p0.15_graph_6,2,"['6', '92']",6,2,"['95', '11']",1.5,0,[],2,"['15', '48']",1.5,0,[],"['12', '68', '13', '97', '42']"
WS_n100_k7_p0.15_graph_7,2,"['10', '60']",6,2,"['10', '39']",1,1,['10'],2,"['43', '37']",3,0,[],"['96', '9', '33', '40', '7']"
WS_n100_k7_p0.15_graph_8,2,"['3', '28']",6,2,"['46', '1']",2.5,0,[],2,"['81', '53']",2.5,0,[],"['4', '73', '44', '76', '35']"
WS_n100_k7_p0.15_graph_9,2,"['22', '73']",6,2,"['1', '23']",2,0,[],2,"['73', '52']",1.5,1,['73'],"['20', '4', '0', '42', '16']"
WS_n100_k7_p0.15_graph_10,2,"['2', '67']",7,2,"['82', '83']",2,0,[],2,"['61', '50']",2.5,0,[],"['23', '21', '80', '88', '10']"
,,,6.5,,,1.85,,,,,2.4,,,
