Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
ER_n1000_p0.15_graph_1,15,"['28', '40', '53', '179', '251', '256', '274', '363', '557', '565', '718', '795', '857', '989', '996']",2,15,"['251', '179', '565', '989', '718', '363', '996', '857', '53', '28', '795', '274', '40', '557', '256']",0,15,"['53', '718', '857', '40', '363', '28', '565', '274', '179', '795', '989', '251', '256', '557', '996']",15,"['463', '430', '371', '361', '465', '411', '462', '367', '467', '436', '487', '404', '408', '426', '348']",1.067,0,[],"['869', '741', '577', '975', '230', '821', '901', '662', '98', '469', '533', '95', '922', '905', '961', '0', '208', '962', '925', '241', '415', '841', '407', '988', '210', '303', '62', '831', '602', '527', '852', '800', '151', '340', '177', '930', '704', '951', '892', '253', '759', '710', '315', '83', '101', '575', '649', '848', '34', '233']"
ER_n1000_p0.15_graph_2,15,"['91', '156', '159', '175', '192', '232', '448', '733', '776', '781', '887', '917', '939', '972', '983']",2,15,"['781', '156', '175', '887', '448', '776', '983', '232', '972', '917', '733', '159', '91', '939', '192']",0,15,"['448', '939', '887', '972', '159', '156', '232', '175', '776', '91', '781', '983', '917', '733', '192']",15,"['307', '257', '274', '248', '321', '301', '294', '289', '422', '238', '263', '244', '316', '781', '382']",1,1,['781'],"['409', '295', '42', '920', '940', '242', '713', '463', '224', '793', '486', '657', '15', '290', '656', '597', '925', '565', '7', '877', '430', '480', '132', '63', '787', '392', '760', '390', '206', '443', '746', '664', '464', '358', '75', '252', '376', '759', '444', '110', '932', '929', '960', '322', '66', '352', '27', '109', '609', '457']"
ER_n1000_p0.15_graph_3,15,"['19', '55', '87', '163', '167', '212', '365', '382', '407', '438', '602', '768', '814', '876', '973']",2,15,"['973', '163', '365', '55', '876', '87', '814', '407', '212', '382', '19', '768', '438', '167', '602']",0,15,"['602', '768', '814', '212', '19', '438', '365', '87', '55', '382', '407', '876', '167', '163', '973']",15,"['415', '456', '399', '528', '504', '448', '478', '435', '487', '466', '387', '411', '421', '417', '483']",1.133,0,[],"['108', '213', '22', '890', '788', '825', '807', '692', '657', '273', '366', '428', '565', '907', '143', '794', '499', '913', '63', '41', '129', '416', '854', '195', '746', '939', '378', '862', '582', '865', '541', '341', '263', '106', '309', '317', '651', '864', '875', '37', '811', '735', '984', '986', '474', '790', '870', '274', '410', '980']"
ER_n1000_p0.15_graph_4,15,"['74', '85', '103', '131', '246', '384', '469', '622', '629', '634', '706', '738', '833', '910', '974']",2,15,"['469', '103', '974', '706', '833', '629', '634', '246', '131', '85', '910', '74', '738', '384', '622']",0,15,"['622', '629', '974', '634', '384', '85', '738', '910', '469', '246', '103', '706', '74', '833', '131']",15,"['396', '287', '326', '296', '314', '329', '443', '325', '295', '315', '338', '322', '388', '255', '355']",1.133,0,[],"['52', '439', '408', '47', '823', '238', '371', '662', '331', '228', '72', '486', '919', '147', '927', '627', '508', '786', '675', '816', '716', '907', '565', '415', '981', '734', '860', '939', '3', '211', '845', '93', '418', '688', '490', '292', '346', '370', '11', '640', '911', '595', '181', '231', '100', '535', '631', '983', '978', '118']"
ER_n1000_p0.15_graph_5,15,"['36', '131', '190', '433', '488', '591', '654', '803', '813', '861', '869', '889', '978', '985', '988']",2,15,"['813', '433', '36', '985', '131', '861', '488', '988', '654', '803', '591', '889', '869', '978', '522']",0.133,14,"['985', '869', '813', '433', '861', '654', '488', '889', '36', '803', '131', '988', '978', '591']",15,"['382', '389', '435', '398', '426', '335', '436', '387', '415', '420', '400', '421', '437', '320', '381']",1.133,0,[],"['368', '38', '295', '974', '27', '474', '175', '528', '890', '245', '893', '115', '301', '887', '656', '208', '296', '610', '696', '566', '514', '819', '386', '407', '396', '995', '771', '41', '997', '84', '109', '51', '670', '688', '549', '324', '521', '635', '505', '288', '26', '504', '330', '255', '322', '649', '917', '233', '92', '833']"
ER_n1000_p0.15_graph_6,15,"['114', '184', '397', '404', '411', '452', '494', '496', '616', '620', '621', '630', '658', '826', '962']",2,15,"['404', '494', '620', '496', '962', '452', '630', '411', '826', '397', '114', '621', '184', '616', '658']",0,15,"['616', '496', '826', '494', '962', '658', '411', '114', '404', '397', '620', '184', '621', '452', '630']",15,"['334', '449', '330', '417', '286', '350', '312', '436', '441', '427', '359', '434', '435', '383', '476']",1.133,0,[],"['49', '874', '694', '67', '371', '715', '299', '855', '668', '266', '491', '157', '95', '952', '955', '510', '259', '562', '362', '737', '20', '632', '395', '373', '477', '707', '836', '988', '680', '328', '313', '969', '340', '889', '639', '263', '985', '287', '676', '197', '398', '254', '990', '255', '686', '22', '352', '724', '2', '745']"
ER_n1000_p0.15_graph_7,15,"['37', '66', '70', '120', '151', '268', '432', '495', '562', '674', '697', '704', '706', '826', '920']",2,15,"['495', '66', '432', '151', '697', '826', '920', '562', '706', '704', '70', '120', '674', '37', '268']",0,15,"['562', '70', '120', '826', '432', '151', '920', '674', '37', '268', '704', '66', '495', '697', '706']",15,"['347', '339', '299', '364', '385', '309', '283', '349', '320', '358', '351', '343', '419', '380', '441']",1.067,0,[],"['295', '173', '550', '882', '611', '823', '768', '82', '25', '683', '890', '361', '133', '533', '590', '608', '214', '753', '610', '453', '935', '716', '981', '329', '624', '868', '462', '604', '360', '537', '300', '832', '156', '923', '612', '959', '519', '471', '864', '35', '231', '875', '960', '330', '255', '446', '138', '162', '807', '979']"
ER_n1000_p0.15_graph_8,15,"['43', '316', '360', '391', '398', '438', '540', '593', '611', '636', '741', '770', '813', '959', '995']",2,15,"['391', '770', '741', '995', '43', '813', '540', '398', '959', '438', '316', '611', '360', '593', '636']",0,15,"['391', '741', '770', '316', '813', '540', '611', '43', '398', '360', '438', '995', '959', '636', '593']",15,"['473', '521', '444', '429', '408', '562', '469', '455', '458', '464', '509', '477', '522', '517', '501']",1.333,0,[],"['642', '822', '437', '705', '830', '23', '967', '829', '645', '660', '428', '168', '478', '623', '185', '451', '268', '128', '534', '666', '41', '868', '195', '769', '24', '863', '413', '900', '365', '801', '340', '896', '163', '468', '541', '33', '614', '309', '17', '454', '809', '315', '761', '483', '631', '725', '103', '790', '979', '46']"
ER_n1000_p0.15_graph_9,15,"['50', '64', '151', '171', '320', '321', '373', '438', '559', '619', '830', '923', '974', '975', '995']",2,15,"['559', '974', '50', '830', '321', '995', '64', '171', '151', '619', '438', '320', '373', '923', '859']",0.067,14,"['974', '64', '438', '619', '151', '320', '50', '995', '830', '923', '373', '321', '559', '171']",15,"['349', '315', '325', '305', '414', '392', '368', '354', '431', '342', '328', '291', '300', '278', '253']",1.133,0,[],"['869', '902', '149', '496', '634', '213', '375', '509', '738', '276', '903', '152', '350', '115', '829', '168', '296', '28', '308', '544', '136', '333', '480', '12', '858', '564', '842', '57', '743', '464', '304', '252', '413', '650', '959', '203', '621', '505', '125', '181', '714', '626', '535', '239', '963', '201', '251', '625', '709', '809']"
ER_n1000_p0.15_graph_10,15,"['0', '116', '192', '288', '362', '471', '528', '567', '756', '817', '821', '828', '962', '986', '988']",2,15,"['471', '528', '192', '116', '828', '288', '821', '988', '0', '756', '986', '962', '817', '362', '567']",0,15,"['0', '756', '362', '962', '288', '821', '528', '116', '986', '567', '988', '828', '817', '192', '471']",15,"['478', '523', '507', '454', '462', '455', '519', '475', '477', '456', '452', '540', '544', '539', '492']",1.067,0,[],"['368', '38', '718', '222', '266', '327', '825', '506', '903', '94', '692', '533', '347', '15', '359', '290', '154', '393', '424', '786', '794', '773', '415', '382', '342', '63', '945', '372', '628', '313', '494', '889', '367', '876', '141', '363', '846', '501', '391', '482', '700', '884', '209', '176', '254', '548', '698', '27', '68', '559']"
,,,2,,,0.02,,,,,1.1199,,,
