node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.0011090681276501656,0.9680320590266976,0,3,0,0.0,0.0
1,1,0.001330940903502856,1.110088618714967,0,2,0,0.0,0.0
2,source_nodes,0.0010136849895250207,1.0044264049207927,0,0,0,0.0,0.0
3,3,0.0009370805812182718,1.0232081411709435,0,1,0,0.0,0.0
4,4,0.0005555866611473238,0.7443053418467368,0,3,0,0.0,0.0
5,5,0.0007688190246016751,0.7989880526199156,0,1,0,0.0,0.0
6,6,0.0009928881681361794,1.239223585059217,0,2,0,0.0,0.0
7,7,0.0011240690811758834,1.188594654255769,0,2,0,0.0,0.0
8,8,0.00032333707576084403,1.1052741796720005,0,2,0,0.0,0.0
9,9,0.0006687466680243775,0.7385445051158708,0,4,0,0.0,0.0
10,10,0.000875024987565448,1.1151301432286045,0,2,0,0.0,0.0
11,observers,0.0004430493120082897,0.5549656942985861,0,3,1,,
12,12,0.0006729054802738948,1.1125056991232998,0,2,0,0.0,0.0
13,source_nodes,0.0009905679213315357,1.186861294997264,0,0,0,0.0,0.0
14,14,0.001036082511944055,1.199267977136188,0,2,0,0.0,0.0
15,15,0.0006621083480224893,0.7961341816379893,0,3,0,0.0,0.0
16,observers,0.0,0.6027702840916055,0,3,1,,
17,17,0.0007766683962887713,0.8478408058553994,0,2,0,0.0,0.0
18,18,0.0007515284894480098,1.1215533574308774,0,3,0,0.0,0.0
19,19,0.0005362363042139697,0.7986332574970272,0,2,0,0.0,0.0
20,20,0.0004293426945733777,1.0782527531366122,0,1,0,0.0,0.0
21,21,0.0006475983916216903,0.7259315249491977,0,2,0,0.0,0.0
22,22,0.0005524621622787053,0.8560649465224283,0,2,0,0.0,0.0
23,23,0.001093935634395184,1.0415328115570526,0,1,0,0.0,0.0
24,24,0.0008793168563213909,1.554273139946674,0,1,0,0.0,0.0
25,observers,0.00010761389246832892,0.5528600762723458,0,3,1,,
26,26,0.00020857444153255577,0.7883780316955622,0,3,0,0.0,0.0
27,27,0.0004489850997777776,1.0126094575347142,0,2,0,0.0,0.0
28,28,0.00042702790206562013,0.943229575820792,0,1,0,0.0,0.0
29,observers,0.0009672239939468126,0.6146903443012447,0,3,1,,
30,30,0.0008567008869656258,1.5505785785461728,0,3,0,0.0,0.0
31,31,0.0006416972712310906,1.040828535970864,0,3,0,0.0,0.0
32,32,0.00031778657987167566,1.0992592897786524,0,2,0,0.0,0.0
33,33,0.0004320181123386555,0.8703718744812649,0,2,0,0.0,0.0
34,34,0.0005382149456307415,1.2258498838374388,0,2,0,0.0,0.0
35,35,0.0009400050109085422,1.192212761210188,0,2,0,0.0,0.0
36,36,0.0006408498247194929,1.2490963714221444,0,2,0,0.0,0.0
37,37,0.0004313882316611039,0.8557512470451709,0,1,0,0.0,0.0
38,38,0.0006254891126046756,1.2965903463736541,0,2,0,0.0,0.0
39,39,0.0002104507438821888,1.346597481477544,0,2,0,0.0,0.0
40,40,0.0004185722726347076,1.3000814565088326,0,1,0,0.0,0.0
41,41,0.00010659943017192158,0.9089739287513265,0,3,0,0.0,0.0
42,42,0.00031442195786447036,0.7932902646065557,0,3,0,0.0,0.0
43,43,0.00010654659445599678,1.7494218787551785,0,1,0,1.0,0.0
44,44,0.00021385117217647938,0.9927721909440355,0,3,0,0.0,0.0
45,45,0.0003125018335302364,0.8685764778755178,0,1,0,0.0,0.0
46,46,0.00010810387457972954,0.8033591508311106,0,2,0,0.0,0.0
47,47,0.00042267615602631646,1.5570610818002073,0,2,0,1.0,0.0
48,48,0.0004216577165134221,1.3005409791028426,0,1,0,0.0,0.0
49,49,0.0017558384431543993,1.0445772250378056,0,3,0,0.0,0.0
50,50,0.00020392847479822393,0.7263467387597073,0,3,0,0.0,0.0
51,51,0.0001015134505489095,1.0465773709594677,0,2,0,0.0,0.0
52,52,0.00038415790758023947,1.2517733411501721,0,2,0,0.0,0.0
53,53,0.0018861953582171155,1.1830553583318488,0,2,0,0.0,1.0
54,54,0.0001015134505489095,0.8230644597768269,0,2,0,0.0,0.0
55,55,0.0014059116097552779,0.978242389345106,0,2,0,0.0,0.0
56,56,0.0,0.7318735891560467,0,1,0,0.0,0.0
57,57,0.00010537135122427374,0.8161513087253816,0,2,0,0.0,0.0
58,58,0.0010259894808419563,0.7202660178901544,0,3,0,0.0,0.0
59,59,0.0,1.2681447631516645,0,2,0,0.0,0.0
60,60,0.0012456698409963295,0.8514858144221963,0,2,0,0.0,0.0
61,61,0.0015491782100189434,0.9954664864565358,0,2,0,0.0,0.0
62,62,0.0015210735826431275,0.9790679296467509,0,3,0,0.0,0.0
63,63,0.0,1.1086832065055099,0,2,0,0.0,0.0
64,64,0.00010286783910392452,1.0475406360269564,0,2,0,0.0,0.0
65,65,0.001162260702581089,0.9164804837663613,0,3,0,0.0,0.0
66,66,0.0,0.7245747562769064,0,2,0,0.0,0.0
67,67,0.0010169077224646613,0.7253213057305249,0,2,0,0.0,0.0
68,observers,0.0009391014643206243,0.6697645374383815,0,3,1,,
69,69,0.0,0.735202353263667,0,3,0,0.0,0.0
70,70,0.0011390511740534215,0.8582887967779325,0,3,0,0.0,0.0
71,71,0.0013398983253274505,0.9902343265563912,0,2,0,0.0,0.0
72,72,0.0022063283442127607,1.3455036582846922,0,2,0,0.0,1.0
73,73,0.00125221643200245,0.9198453148609883,0,3,0,0.0,0.0
74,74,0.0,0.7402967686388734,0,2,0,0.0,0.0
75,75,0.001730173692210432,1.3834195958300397,0,2,0,0.0,0.0
76,76,0.0007760532500757834,0.6708494474169319,0,3,0,0.0,0.0
77,77,0.0011796241089586002,0.9216248103013726,0,2,0,0.0,0.0
78,78,0.0015117407754162934,0.9953305793438565,0,2,0,0.0,0.0
79,79,0.001129830001209776,1.0396583122976157,0,3,0,0.0,0.0
80,80,0.0012684949324441202,1.0043341467873577,0,2,0,0.0,0.0
81,81,0.0015123320230308053,1.0606920549879857,0,2,0,0.0,0.0
82,82,0.001123757902691899,0.8542180084102086,0,3,0,0.0,0.0
83,83,0.0014746728746185078,0.9804006853826531,0,3,0,0.0,0.0
84,84,0.0008957658063415756,0.7266261174910441,0,3,0,0.0,0.0
85,85,0.0009751821422445237,1.0621844461967225,0,2,0,0.0,0.0
