node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.0006658272860927815,1.418073094871876,0,2,0,0.0,0.0
1,observers,0.00033328565644580093,0.6583444741401875,0,3,1,,
2,2,0.00045540953362711026,1.2023727641435455,0,2,0,0.0,0.0
3,3,0.0005502152055405444,0.8957749601636398,0,2,0,0.0,0.0
4,4,0.00031739648913065455,1.1516094295349961,0,2,0,0.0,0.0
5,5,0.00020820530990830658,1.0205976503920484,0,3,0,0.0,0.0
6,6,0.00021663566412783716,0.8267229530947692,0,2,0,0.0,0.0
7,7,0.00032399924517808356,1.1714900893546616,0,2,0,0.0,0.0
8,observers,0.00031531690036972897,0.6650040210670508,0,2,1,,
9,9,0.00021194902236265287,0.904739993411081,0,1,0,0.0,0.0
10,10,0.0003462274301084128,0.7564134869715916,0,2,0,0.0,0.0
11,11,0.00021422792044168017,0.7831796880704529,0,1,0,0.0,0.0
12,12,0.0005629072281271039,1.058508324444171,0,2,0,0.0,0.0
13,13,0.0004899282262436303,0.9686710208358119,0,2,0,0.0,0.0
14,14,0.0002158596579272855,1.194273415525828,0,2,0,0.0,0.0
15,15,0.00032409494424660975,1.3407589874962111,0,1,0,0.0,0.0
16,16,0.0005251866580355134,0.5723969219565299,0,3,0,0.0,0.0
17,17,0.0005358492043770067,0.9059262369473969,0,2,0,0.0,0.0
18,18,0.0003177738160366264,1.1227588851248662,0,3,0,0.0,0.0
19,19,0.00010689046495517495,0.783564219036445,0,2,0,0.0,0.0
20,20,0.0016401116609933602,0.9508071877987322,0,2,0,0.0,0.0
21,21,0.0002066671641567221,1.1578388398207304,0,3,0,0.0,0.0
22,22,0.00010955748747000735,1.162891412038981,0,3,0,0.0,0.0
23,23,0.00011277540668033688,1.3100557305163123,0,2,0,0.0,0.0
24,24,0.0017690884525734408,1.0198189715059656,0,3,0,0.0,0.0
25,25,0.0019354868820092306,1.2452340283162386,0,3,0,0.0,0.0
26,26,0.0,0.6603537700519488,0,2,0,0.0,0.0
27,27,0.0001348056162529103,1.3525918595720947,0,2,0,0.0,0.0
28,28,0.001035225293872734,0.7008389667741544,0,3,0,0.0,0.0
29,29,0.0,1.0655045702313253,0,3,0,0.0,0.0
30,30,0.0013886572038289851,0.8433022951432891,0,3,0,0.0,0.0
31,observers,0.0001348056162529103,0.5902782739018512,0,2,1,,
32,32,0.0001127035028561687,1.193840420137747,0,2,0,0.0,0.0
33,33,0.00023850972033337582,0.9547280785757066,0,2,0,0.0,0.0
34,34,0.00023708508554237478,0.9394118874827665,0,2,0,0.0,0.0
35,35,0.0002066671641567221,1.2006372217551589,0,2,0,0.0,0.0
36,36,0.001950947310411758,1.2080008522470866,0,3,0,0.0,0.0
37,37,0.0013588653136215004,0.95907122249691,0,3,0,0.0,0.0
38,38,0.0013436777781501894,0.9650766060974438,0,2,0,0.0,0.0
39,39,0.0,0.9669647855925126,0,4,0,0.0,0.0
40,40,0.0017131735400740026,1.0689277341851364,0,3,0,0.0,0.0
41,41,0.0,2.0254771113400736,0,1,0,1.0,0.0
42,42,0.0017767607324933991,1.1736367072725211,0,2,0,0.0,0.0
43,43,0.0016236391570882565,1.15604423104373,0,3,0,0.0,0.0
44,44,0.0017106252114667644,1.1555707043450099,0,3,0,0.0,0.0
45,45,0.0013273758228522963,1.00048759181332,0,2,0,0.0,0.0
46,46,0.001762808543666463,1.1778834567207372,0,1,0,0.0,0.0
47,47,0.001068429390628555,0.8002086856437962,0,4,0,0.0,0.0
48,48,0.0017277350752146138,1.1608265415574626,0,2,0,0.0,0.0
49,49,0.0012865073169544298,0.8600779382827898,0,3,0,0.0,0.0
50,50,0.0011083856468854859,0.950303849977409,0,3,0,0.0,0.0
51,51,0.0014472817102077914,1.2781269369030601,0,2,0,0.0,0.0
52,52,0.0006552812723430117,0.6551269477197174,0,3,0,0.0,0.0
53,53,0.0013869625733520159,0.9290735354553785,0,3,0,0.0,0.0
54,observers,0.0008628688591233023,0.6011864617099639,0,3,1,,
55,55,0.0013256446435960965,1.02252602503606,0,3,0,0.0,0.0
56,56,0.000646511280743129,0.7083374303604772,0,3,0,0.0,0.0
57,57,0.0017266664843269396,1.3276695597379478,0,2,0,0.0,0.0
58,58,0.0014023946907900824,1.217721285269456,0,2,0,0.0,0.0
59,59,0.0009032833748176793,0.8561357159784401,0,3,0,0.0,0.0
60,60,0.0022722543664058896,1.458966803884236,0,1,0,0.0,1.0
61,61,0.000669517540126512,0.847444640033776,0,3,0,0.0,0.0
62,62,0.001007252873257483,0.8367282496894067,0,2,0,0.0,0.0
63,63,0.0013170980614691946,1.0529398777696943,0,2,0,0.0,0.0
64,64,0.0011950312469581484,0.9497534022566887,0,3,0,0.0,0.0
65,65,0.0012412493133541834,0.9830796532152867,0,2,0,0.0,0.0
