node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.00010186158230497086,1.150208814539733,0,3,0,0.0,0.0
1,1,0.0016438957998644492,0.9550219475936754,0,3,0,0.0,0.0
2,2,0.0013550852907775962,0.7855193498215945,0,3,0,0.0,0.0
3,3,0.0017567546667349118,1.0579582621767156,0,2,0,0.0,0.0
4,4,0.00020572375013527122,1.253752178871856,0,2,0,0.0,0.0
5,5,0.0018627643537809417,1.0985283595610777,0,3,0,0.0,0.0
6,6,0.0010369367559145922,0.6313978988813655,0,3,0,0.0,0.0
7,7,0.0012425809293350758,0.8715765021208318,0,3,0,0.0,0.0
8,8,0.0015139812010869114,0.9627634284913841,0,2,0,0.0,0.0
9,9,0.0,0.4651155920363284,0,2,0,0.0,0.0
10,10,0.000823720535133907,1.3751357302896707,0,1,0,0.0,0.0
11,11,0.000927098957740533,0.754977200871773,0,4,0,0.0,0.0
12,12,0.0004877774709355762,1.750010233637505,0,1,0,1.0,0.0
13,13,0.0008166194501306198,0.7392846778780862,0,3,0,0.0,0.0
14,14,0.0006839160623648922,0.5436083420126513,0,2,0,0.0,0.0
15,15,0.0015363128487028777,0.9950606316526376,0,3,0,0.0,0.0
16,16,0.0001038439490998596,0.8260579208536757,0,2,0,0.0,0.0
17,17,0.002059472107473953,1.2613764159351497,0,3,0,0.0,1.0
18,18,0.001426664359581562,0.9189680695112391,0,2,0,0.0,0.0
19,19,0.0016644899077490475,1.2095521108897869,0,2,0,0.0,0.0
20,20,0.0010998615178753745,0.9536375690771232,0,3,0,0.0,0.0
21,21,0.0010380635328914182,0.8090560416310646,0,2,0,0.0,0.0
22,22,0.001368239387500028,0.8463733309305836,0,3,0,0.0,0.0
23,source_nodes,0.00010594718005684329,1.2482445284947208,0,0,0,0.0,0.0
24,observers,0.001955110831821499,1.5449130809648812,0,2,1,,
25,25,0.0007697057194709614,0.49902160641171345,0,4,0,0.0,0.0
26,26,0.001144240632603065,1.0141161220286545,0,2,0,0.0,0.0
27,27,0.0011296214498036764,0.8005467603986527,0,3,0,0.0,0.0
28,28,0.0018441646713877851,1.3386748025998827,0,2,0,0.0,0.0
29,29,0.00010186158230497086,0.9224177570513165,0,2,0,0.0,0.0
30,observers,0.001941395607496343,1.3023949178877057,0,3,1,,
31,31,0.001290394004043236,1.1334936430110658,0,3,0,0.0,0.0
32,32,0.0012382653644770968,0.8838009890706575,0,3,0,0.0,0.0
33,33,0.0012082847584603592,1.2915744857958031,0,1,0,0.0,0.0
34,34,0.00010613868658824128,0.590220782283588,0,3,0,0.0,0.0
35,35,0.0011167739315638883,0.7679321220485452,0,2,0,0.0,0.0
36,source_nodes,0.0010767574321936617,1.021149243134912,0,0,0,0.0,0.0
37,37,0.0005403842829709776,0.6608201356720026,0,3,0,0.0,0.0
38,38,0.0008532851756777949,1.1113724807132286,0,1,0,0.0,0.0
39,39,0.0014246600414676023,1.0192259602335159,0,1,0,0.0,0.0
40,40,0.0019114396033727292,1.663095275061415,0,1,0,0.0,0.0
41,41,0.0006813122583240426,1.0399325925972676,0,2,0,0.0,0.0
42,42,0.00083040935277627,1.015956434137461,0,2,0,0.0,0.0
43,43,0.0012610199686562216,1.1942206155691835,0,2,0,0.0,0.0
44,44,0.0011996860699753141,1.0999373131491808,0,3,0,0.0,0.0
45,45,0.0004895943463132321,0.5671694483537869,0,3,0,0.0,0.0
46,46,0.000913404904774408,1.267942685544571,0,2,0,0.0,0.0
47,47,0.0010131136332960046,1.004989381282578,0,3,0,0.0,0.0
48,48,0.0009868967638583955,0.799180598086304,0,2,0,0.0,0.0
49,49,0.0016014531445322643,1.3416093388495534,0,2,0,0.0,0.0
50,50,0.0006768435286059823,0.9209959171911167,0,3,0,0.0,0.0
51,51,0.0010004105623592817,1.0016536071511914,0,2,0,0.0,0.0
52,52,0.0005604015525195647,0.9570640666280075,0,3,0,0.0,0.0
53,53,0.00020572375013527122,0.7281431263672016,0,3,0,0.0,0.0
54,54,0.00021501213497496482,0.5277348759132017,0,5,0,0.0,0.0
55,55,0.0010197173805755392,0.816480741797498,0,2,0,0.0,0.0
56,56,0.0009221814059794239,0.9043115771699326,0,2,0,0.0,0.0
57,57,0.0003285336399085813,0.678223202721364,0,3,0,0.0,0.0
58,observers,0.0013697904456344073,1.40477103754398,0,2,1,,
59,59,0.0006750036599254016,0.7812414796262394,0,3,0,0.0,0.0
60,60,0.0009523324376175026,0.8232202284832936,0,3,0,0.0,0.0
61,61,0.000297243810501406,0.4241260871245828,0,3,0,0.0,0.0
62,62,0.00021876401924222536,0.814460010289444,0,3,0,0.0,0.0
63,63,0.0007518550203017341,1.4805366414512484,0,1,0,0.0,0.0
64,64,0.0011535482460949804,0.6267964976231906,0,3,0,0.0,0.0
65,65,0.00010386216783030036,0.7684725934682011,0,3,0,0.0,0.0
66,66,0.00044398459241515027,0.8976010828774127,0,2,0,0.0,0.0
67,67,0.0006432754810119548,1.365906199452373,0,1,0,0.0,0.0
68,68,0.0013583745485629358,1.0758615345114582,0,2,0,0.0,0.0
69,69,0.00033871287669202813,0.9646073158502678,0,3,0,0.0,0.0
70,observers,0.0003289694634168382,1.4311516472547172,0,3,1,,
71,71,0.0012116302077439145,0.6882850409977831,0,3,0,0.0,0.0
72,72,0.0002559820513102854,0.9342251337958888,0,3,0,0.0,0.0
73,73,0.0,0.740697812692428,0,3,0,0.0,0.0
74,74,0.0007797565444115817,0.9762135579648857,0,2,0,0.0,0.0
75,75,0.0006016721812689774,0.8650045272284699,0,2,0,0.0,0.0
76,76,0.0007052089920222813,0.9826072750588051,0,2,0,0.0,0.0
77,77,0.0,1.1436365770105135,0,3,0,0.0,0.0
78,78,0.00010594718005684329,0.6904474099052965,0,2,0,0.0,0.0
79,79,0.0006101753740520193,1.220686889895086,0,1,0,0.0,0.0
80,80,0.0008572642709782607,1.77763424597868,0,1,0,1.0,0.0
81,81,0.0007607923357930672,1.1614834477329454,0,2,0,0.0,0.0
82,82,0.0005567418985567517,1.0846639476126856,0,3,0,0.0,0.0
83,observers,0.00021919129400147896,1.320720712199288,0,3,1,,
84,84,0.00010186158230497086,1.199394009151244,0,2,0,0.0,0.0
85,85,0.0005856474236937067,1.0111646966381314,0,2,0,0.0,0.0
86,86,0.0005451272683726795,1.0731455309466233,0,2,0,0.0,0.0
87,87,0.00010594718005684329,0.9245613805715296,0,3,0,0.0,0.0
88,88,0.0005865214587794031,1.4622049131606145,0,1,0,0.0,0.0
89,89,0.00022454772769322536,1.1358443751584328,0,2,0,0.0,0.0
90,90,0.00032963598165626756,1.0127338655127125,0,3,0,0.0,0.0
91,91,0.00010079586076614739,0.8638776596423929,0,2,0,0.0,0.0
92,92,0.00010079586076614739,0.8782064025033978,0,3,0,0.0,0.0
93,93,0.00011532912617117861,0.9677514045932659,0,2,0,0.0,0.0
94,94,0.0003210326277974481,0.9475203963940411,0,3,0,0.0,0.0
95,95,0.00048169856413542015,1.22450442264612,0,2,0,0.0,0.0
96,96,0.0006544877257776969,0.8718433217900784,0,2,0,0.0,0.0
97,97,0.0020998261254264543,1.2133879051671093,0,3,0,0.0,1.0
98,98,0.0013173813130610632,0.8502230934851512,0,3,0,0.0,0.0
99,99,0.0016513668518086714,0.9420349728246937,0,2,0,0.0,0.0
